"","state","count","lon","lat"
"1","Alabama",21,-86.902298,32.3182314
"2","Alaska",5,-149.4936733,64.2008413
"3","Arizona",18,-111.0937311,34.0489281
"4","Arkansas",13,-91.8318334,35.20105
"5","California",229,-119.4179324,36.778261
"6","Colorado",28,-105.7820674,39.5500507
"7","Connecticut",13,-73.087749,41.6032207
"8","District of Columbia",15,-77.0368707,38.9071923
"9","Florida",98,-81.5157535,27.6648274
"10","Georgia",68,-82.9000751,32.1656221
"11","Hawaii",4,-155.5827818,19.8967662
"12","Idaho",5,-114.7420408,44.0682019
"13","Illinois",51,-89.3985283,40.6331249
"14","Indiana",25,-86.1349019,40.2671941
"15","Iowa",10,-93.097702,41.8780025
"16","Kansas",116,-98.4842465,39.011902
"17","Kentucky",10,-84.2700179,37.8393332
"18","Louisiana",26,-91.9623327,30.9842977
"19","Maine",4,-69.4454689,45.253783
"20","Maryland",16,-76.6412712,39.0457549
"21","Massachusetts",61,-71.3824374,42.4072107
"22","Michigan",18,-85.6023643,44.3148443
"23","Minnesota",17,-94.6858998,46.729553
"24","Mississippi",11,-89.3985283,32.3546679
"25","Missouri",16,-91.8318334,37.9642529
"26","Montana",3,-110.3625658,46.8796822
"27","Nebraska",8,-99.9018131,41.4925374
"28","Nevada",10,-116.419389,38.8026097
"29","New Hampshire",9,-71.5723953,43.1938516
"30","New Jersey",32,-74.4056612,40.0583238
"31","New Mexico",11,-105.8700901,34.5199402
"32","New York",146,-74.0059413,40.7127837
"33","North Carolina",32,-79.0192997,35.7595731
"34","North Dakota",4,-101.0020119,47.5514926
"35","Ohio",36,-82.907123,40.4172871
"36","Oklahoma",11,-97.092877,35.0077519
"37","Oregon",21,-120.5542012,43.8041334
"38","Pennsylvania",63,-77.1945247,41.2033216
"39","Rhode Island",6,-71.4774291,41.5800945
"40","South Carolina",13,-81.1637245,33.836081
"41","South Dakota",7,-99.9018131,43.9695148
"42","Tennessee",18,-86.5804473,35.5174913
"43","Texas",138,-99.9018131,31.9685988
"44","Utah",12,-111.0937311,39.3209801
"45","Vermont",1,-72.5778415,44.5588028
"46","Virginia",20,-78.6568942,37.4315734
"47","Washington",20,-120.7401386,47.7510741
"48","West Virginia",6,-80.4549026,38.5976262
"49","Wisconsin",12,-88.7878678,43.7844397
"50","Wyoming",2,-107.2902839,43.0759678
